Using cuda device
Wrapping the env in a DummyVecEnv.
Total Reward: -0.308 | Lat Penalty: -0.386 | Steer Penalty: -0.003 | Action: -1.00
Total Reward: -0.311 | Lat Penalty: -0.390 | Steer Penalty: -0.004 | Action: 1.00
Total Reward: -0.313 | Lat Penalty: -0.392 | Steer Penalty: -0.004 | Action: 1.00
Total Reward: -0.314 | Lat Penalty: -0.393 | Steer Penalty: -0.004 | Action: -0.82
Total Reward: -0.316 | Lat Penalty: -0.395 | Steer Penalty: -0.004 | Action: -0.12
Total Reward: -0.318 | Lat Penalty: -0.396 | Steer Penalty: -0.004 | Action: 0.22
Total Reward: -0.318 | Lat Penalty: -0.397 | Steer Penalty: -0.004 | Action: -1.00
Total Reward: -0.321 | Lat Penalty: -0.399 | Steer Penalty: -0.005 | Action: -1.00
Total Reward: -0.323 | Lat Penalty: -0.401 | Steer Penalty: -0.005 | Action: 0.67
Total Reward: -0.323 | Lat Penalty: -0.401 | Steer Penalty: -0.005 | Action: 0.26
Total Reward: -0.324 | Lat Penalty: -0.401 | Steer Penalty: -0.005 | Action: -0.76
Total Reward: -0.324 | Lat Penalty: -0.402 | Steer Penalty: -0.005 | Action: 0.32
Total Reward: -0.324 | Lat Penalty: -0.402 | Steer Penalty: -0.005 | Action: -0.65
Total Reward: -0.328 | Lat Penalty: -0.405 | Steer Penalty: -0.005 | Action: -0.68
Total Reward: -0.329 | Lat Penalty: -0.407 | Steer Penalty: -0.006 | Action: 0.50
Total Reward: -0.331 | Lat Penalty: -0.408 | Steer Penalty: -0.006 | Action: -1.00
Total Reward: -0.335 | Lat Penalty: -0.411 | Steer Penalty: -0.006 | Action: -0.35
Total Reward: -0.341 | Lat Penalty: -0.415 | Steer Penalty: -0.007 | Action: -1.00
Total Reward: -0.345 | Lat Penalty: -0.420 | Steer Penalty: -0.008 | Action: 1.00
Total Reward: -0.350 | Lat Penalty: -0.424 | Steer Penalty: -0.009 | Action: -0.28
Total Reward: -0.355 | Lat Penalty: -0.428 | Steer Penalty: -0.009 | Action: -0.61
Total Reward: -0.360 | Lat Penalty: -0.433 | Steer Penalty: -0.010 | Action: 0.21
Total Reward: -0.364 | Lat Penalty: -0.437 | Steer Penalty: -0.011 | Action: -0.72
Total Reward: -0.368 | Lat Penalty: -0.440 | Steer Penalty: -0.011 | Action: 1.00
Total Reward: -0.369 | Lat Penalty: -0.442 | Steer Penalty: -0.011 | Action: -0.01
